id,state,abbrev,homeOwner,familyHousehold,raceWhite,raceBlack,raceAsian,,,,,,
1,Alabama,AL,72.3,66.9,66.1,26.6,1.2,,,,,,
2,Alaska,AK,67.5,66.1,61.8,3.4,6,,,,,,
4,Arizona,AZ,66.4,65,56.1,4.2,3.2,,,,,,
5,Arkansas,AR,69.4,66.5,73.4,15.8,1.2,,,,,,
6,California,CA,58,68.7,38.3,5.8,13.9,,,,,,
8,Colorado,CO,67.7,64.5,68.8,4,2.9,,,,,,
9,Connecticut,CT,70.5,65.4,68.6,10.3,4.2,,,,,,how many families are homeowners
10,Delaware,DE,74.3,66.6,63.5,21.7,3.9,,,,,,
11,District of Columbia,DC,44.8,42.5,35.7,48.8,3.8,,,,,,
12,Florida,FL,68.7,64,55.6,16.2,2.6,,,,,,
13,Georgia,GA,67.3,67.6,54.2,31.3,3.7,,,,,,
15,Hawaii,HI,62.3,69.7,22.9,2.2,37.6,,,,,,
16,Idaho,ID,71.7,68.9,82.8,0.7,1.5,,,,,,
17,Illinois,IL,70.6,64.9,62.2,14.3,5.2,,,,,,
18,Indiana,IN,73.2,66.2,80.2,9.3,2,,,,,,
19,Iowa,IA,74.6,64.6,87.1,3.1,2.2,,,,,,
20,Kansas,KS,70.6,65.7,76.7,5.9,2.6,,,,,,
21,Kentucky,KY,71.3,65.7,85.4,7.9,1.2,,,,,,
22,Louisiana,LA,70.4,64.8,59.2,32.3,1.7,,,,,,
23,Maine,ME,75.2,62.7,93.7,1.2,1.1,,,,,,
24,Maryland,MD,70.7,66.8,52.4,29.7,6.2,,,,,,
25,Massachusetts,MA,65.9,63.2,73.8,7.1,6.1,,,,,,
26,Michigan,MI,75.2,64.8,75.7,13.9,2.8,,,,,,
27,Minnesota,MN,75.7,64.3,81.3,5.7,4.6,,,,,,
28,Mississippi,MS,71.9,67.4,57.2,37.8,0.8,,,,,,
29,Missouri,MO,71.7,64.1,79.9,11.7,1.8,,,,,,
30,Montana,MT,71.1,61.1,86.7,0.6,0.8,,,,,,
31,Nebraska,NE,70.5,64.8,80.4,4.7,2.1,,,,,,
32,Nevada,NV,59.5,62.9,51.3,8.6,7.8,,,,,,
33,New Hampshire,NH,75.3,66.6,91.2,1.3,2.6,,,,,,
34,New Jersey,NJ,68.3,69,56.6,13.6,9.3,,,,,,
35,New Mexico,NM,72,64.3,38.7,2,1.5,,,,,,
36,New York,NY,57.3,63.5,56.3,15.7,8.2,,,,,,
37,North Carolina,NC,68.7,65.7,64,21.7,2.5,,,,,,
38,North Dakota,ND,69,61.5,86.8,2,1.2,,,,,,
39,Ohio,OH,70.9,63.6,80,12.2,1.9,,,,,,
40,Oklahoma,OK,69.9,66.2,67,7.4,2,,,,,,
41,Oregon,OR,64.2,62.9,76.9,1.8,4,,,,,,
42,Pennsylvania,PA,73.5,64.4,77.7,11.1,3.1,,,,,,
44,Rhode Island,RI,64.6,62.8,74.1,6.7,3.4,,,,,,
45,South Carolina,SC,71.1,65.8,63.8,27.3,1.4,,,,,,
46,South Dakota,SD,70.6,63.2,83.2,1.7,1.3,,,,,,
47,Tennessee,TN,70.6,66.2,74.5,16.9,1.6,,,,,,
48,Texas,TX,67,69.1,43.4,12,4.3,,,,,,
49,Utah,UT,72.1,75.3,79.2,1.1,2.2,,,,,,
50,Vermont,VT,74.2,63,93.2,1,1.6,,,,,,
51,Virginia,VA,69.6,66.8,63,19.2,6.1,,,,,,
53,Washington,WA,66.3,64.4,70.3,3.6,7.8,,,,,,
54,West Virginia,WV,76.4,64.3,92.6,3.7,0.6,,,,,,
55,Wisconsin,WI,71.1,64.4,82.2,6.3,2.6,,,,,,
56,Wyoming,WY,71.9,64.1,84,1.1,0.9,,,,,,
